economy,PA.NUS.PPP,PA.NUS.PPP:T
ABW,1.35068964958191,2017
AFG,19.1216105982343,2020
AGO,159.350681624228,2020
ALB,42.4124892466306,2020
ARE,1.99568722616133,2020
ARG,29.1577687917216,2020
ARM,156.708455755413,2020
ATG,2.07108228673593,2020
AUS,1.446009,2020
AUT,0.763921,2020
AZE,0.495617314751003,2020
BDI,680.453710337364,2020
BEL,0.745495,2020
BEN,211.987204391739,2020
BFA,217.154974930164,2020
BGD,32.3690402074964,2020
BGR,0.702813548245117,2020
BHR,0.175385491753621,2020
BHS,0.774281899655505,2020
BIH,0.66801597833988,2020
BLR,0.774356705812338,2020
BLZ,1.27451490055831,2020
BMU,1.32475550507176,2020
BOL,2.61612493335799,2020
BRA,2.36184488124814,2020
BRB,2.30327332943669,2020
BRN,0.577068802325357,2020
BTN,19.9777294411945,2020
BWA,4.74663757780406,2020
CAF,287.194836498357,2020
CAN,1.245722,2020
CHE,1.139775,2020
CHL,417.724619,2020
CHN,4.18391030696057,2020
CIV,244.92735198918,2020
CMR,228.764378154393,2020
COD,881.854768943901,2020
COG,293.350159629632,2020
COL,1320.0954,2020
COM,194.063818689446,2020
CPV,46.5148230751588,2020
CRI,320.849715,2020
CUB,0.321938711455632,2011
CUW,1.39978947661572,2020
CYM,0.990295674985753,2020
CYP,0.610871406373997,2020
CZE,12.793019,2020
DEU,0.738351,2020
DJI,105.293226569707,2020
DMA,1.74237735920666,2020
DNK,6.632676,2020
DOM,22.9058359870206,2020
DZA,37.0208558547378,2020
ECU,0.513996577852945,2020
EGY,4.53830155665186,2020
ERI,5.46990434868798,2017
ESP,0.627393,2020
EST,0.53617,2020
ETH,12.1146250288367,2020
FIN,0.844975,2020
FJI,0.9081161071917,2020
FRA,0.727312,2020
FSM,1.00337073060386,2020
GAB,262.208582937642,2020
GBR,0.688988,2020
GEO,0.898297768812312,2020
GHA,2.14842441764448,2020
GIN,4053.88091546577,2020
GMB,17.498873142183,2020
GNB,214.87578102753,2020
GNQ,229.176637262277,2020
GRC,0.552809,2020
GRD,1.63618259110172,2020
GTM,4.01476193124711,2020
GUY,73.6028484642959,2020
HKG,6.06649584218854,2020
HND,10.9105034471389,2020
HRV,3.24128226844411,2020
HTI,41.0813849284334,2020
HUN,148.803704,2020
IDN,4673.93044503474,2020
IND,21.9995780982483,2020
IRL,0.801156,2020
IRN,31317.2837555968,2020
IRQ,519.828695028672,2020
ISL,149.685438,2020
ISR,3.851099,2020
ITA,0.663805,2020
JAM,71.8754242408196,2020
JOR,0.293651493812455,2020
JPN,101.24037,2020
KAZ,140.801499462394,2020
KEN,43.6829530179391,2020
KGZ,18.2837188352604,2020
KHM,1428.91129921965,2020
KIR,1.00810786113539,2020
KNA,1.9405645419054,2020
KOR,824.604924,2020
KWT,0.160597074121429,2020
LAO,2887.16652858009,2020
LBN,1414.97940512467,2020
LBR,0.431050286369163,2020
LBY,0.476843536059519,2020
LCA,1.87038793925185,2020
LKA,51.6541190722486,2020
LSO,5.89992242225523,2020
LTU,0.455588,2020
LUX,0.864437,2020
LVA,0.493237,2020
MAC,5.16943800831027,2020
MAR,3.94162592813615,2020
MDA,6.05793048371159,2020
MDG,1156.54690423145,2020
MDV,7.92218437547097,2020
MEX,9.702813,2020
MHL,0.995639494782983,2020
MKD,18.8910525297927,2020
MLI,211.42179876395,2020
MLT,0.584871926536982,2020
MMR,409.241882646982,2020
MNE,0.336332050709222,2020
MNG,923.803632311129,2020
MOZ,24.0317804974212,2020
MRT,11.7463933048862,2020
MUS,16.5353398833425,2020
MWI,299.895002012254,2020
MYS,1.5674258162982,2020
NAM,7.39987805590886,2020
NER,253.631411632946,2020
NGA,144.279065749065,2020
NIC,11.7475655438671,2020
NLD,0.774008,2020
NOR,10.119987,2020
NPL,33.5176951499225,2020
NRU,1.10065929695619,2020
NZL,1.436351,2020
OMN,0.178971015846109,2020
PAK,39.0886423854206,2020
PAN,0.46709016355151,2020
PER,1.80264974472322,2020
PHL,19.5118478492409,2020
PLW,0.872679650230408,2020
PNG,2.22551579023484,2020
POL,1.7905,2020
PRI,0.91534729662159,2020
PRT,0.568553,2020
PRY,2591.03944022015,2020
PSE,0.569378248423313,2020
QAT,2.02795662036531,2020
ROU,1.70414063073096,2020
RUS,24.492859,2020
RWA,339.903444092671,2020
SAU,1.61279380958579,2020
SDN,22.3456002645288,2020
SEN,241.852363217253,2020
SGP,0.837423202827473,2020
SLB,7.05790512644074,2020
SLE,2898.87556960878,2020
SLV,0.451118430490527,2020
SMR,0.672237394439349,2019
SOM,9062.77081432324,2020
SRB,41.6844611311544,2020
SSD,3.26829523046972,2015
STP,10.9402617166107,2020
SUR,3.90672593037309,2020
SVK,0.537942,2020
SVN,0.561764,2020
SWE,8.747881,2020
SWZ,6.36144912050319,2020
SXM,1.4422666008139,2018
SYC,7.35240007661089,2020
TCA,1.07153120352043,2020
TCD,236.817557428037,2020
TGO,236.848782905933,2020
THA,12.3351289485051,2020
TJK,2.29846615478688,2020
TKM,1.6450285155393,2019
TLS,0.348376895164734,2020
TON,1.59575454461944,2020
TTO,4.16165574907168,2020
TUN,0.91511272726935,2020
TUR,2.197153,2020
TUV,1.2938776061174,2020
TZA,888.366396406299,2020
UGA,1331.06677456788,2020
UKR,7.69183196532145,2020
URY,28.4560629852436,2020
USA,1.0,2020
UZB,2275.91291494189,2020
VCT,1.54668360616436,2020
VEN,2.68098258972168,2011
VGB,1.06877851486206,2017
VNM,7474.11731102163,2020
VUT,109.985664961162,2020
WSM,1.62130816493384,2020
XKX,0.334939723754891,2020
YEM,93.6313171386719,2013
ZAF,6.96755178674321,2020
ZMB,5.22654879777208,2020
ZWE,22.0083918081849,2020
