economy,SE.XPD.TOTL.GD.ZS,SE.XPD.TOTL.GD.ZS:T
ABW,5.4913501739502,2016
AFE,4.71929979324341,2019
AFG,3.21377992630005,2019
AFW,3.03285002708435,2019
AGO,1.82117998600006,2019
ALB,3.94576001167297,2019
AND,3.15060997009277,2019
ARB,4.33701992034912,2008
ARE,3.10269999504089,2019
ARG,4.80237007141113,2019
ARM,2.70476007461548,2020
ASM,14.7170495986938,2006
ATG,3.32161998748779,2020
AUS,5.10789012908936,2018
AUT,5.22535991668701,2018
AZE,2.68108010292053,2019
BDI,5.07864999771118,2018
BEL,6.37663984298706,2018
BEN,2.96519994735718,2019
BFA,5.78548002243042,2019
BGD,1.32632005214691,2019
BGR,4.09102010726929,2017
BHR,2.32452011108398,2017
BHS,2.51087999343872,2020
BLR,4.95244979858398,2020
BLZ,7.94095993041992,2020
BMU,1.32495999336243,2017
BRA,6.08851003646851,2018
BRB,4.29515981674194,2020
BRN,4.42540979385376,2016
BTN,6.85084009170532,2018
BWA,6.91437005996704,2019
CAF,1.76871001720428,2019
CAN,5.26205015182495,2011
CEB,4.26692008972168,2018
CHE,4.86093997955322,2018
CHL,5.43316984176636,2018
CHN,3.54249000549316,2018
CIV,3.70040011405945,2019
CMR,3.10050010681152,2019
COD,1.45494997501373,2017
COG,3.89800000190735,2019
COL,4.5062198638916,2019
COM,2.5450599193573,2015
CPV,4.73345994949341,2019
CRI,6.74626016616821,2020
CSS,5.40337991714478,2020
CUB,12.8373098373413,2010
CUW,4.93095016479492,2013
CYP,5.75416994094849,2017
CZE,4.26692008972168,2018
DEU,4.99274015426636,2018
DJI,3.62773990631104,2018
DMA,4.99812984466553,2020
DNK,7.75243997573853,2017
DOM,4.04276990890503,2019
DZA,6.10035991668701,2019
EAP,3.23436999320984,2019
EAR,3.56645500659943,2019
EAS,3.43450498580933,2018
ECA,3.94576001167297,2019
ECS,4.67819976806641,2018
ECU,4.13413000106812,2020
EGY,3.9308500289917,2015
EMU,4.80559992790222,2018
ERI,2.12700009346008,2006
ESP,4.17816019058228,2018
EST,5.23887014389038,2018
ETH,5.06867980957031,2018
EUU,4.62730979919434,2018
FCS,3.13120007514954,2018
FIN,6.26929998397827,2018
FJI,5.06788015365601,2019
FRA,5.41316986083984,2018
FRO,8.23338031768799,2017
FSM,9.69705009460449,2018
GAB,2.76782989501953,2019
GBR,5.23890018463135,2018
GEO,3.83912992477417,2020
GHA,4.0041298866272,2018
GIN,2.19947004318237,2020
GMB,2.87529993057251,2019
GNB,2.94781994819641,2019
GNQ,2.18797993659973,1998
GRC,3.59395003318787,2018
GRD,3.55255007743835,2018
GRL,10.5601902008057,2018
GTM,3.29972004890442,2020
GUY,4.45058012008667,2018
HIC,4.8984899520874,2018
HKG,4.4063401222229,2020
HND,4.91284990310669,2019
HPC,3.43867993354797,2019
HRV,3.90566992759705,2017
HTI,1.68210005760193,2018
HUN,4.62730979919434,2018
IBD,3.88286006450653,2019
IBT,3.66319990158081,2019
IDA,3.44283008575439,2019
IDB,3.89800000190735,2019
IDN,2.84185004234314,2019
IDX,3.44075500965118,2019
IND,3.45097994804382,2016
IRL,3.38309001922607,2018
IRN,3.66319990158081,2019
IRQ,3.55150008201599,1989
ISL,7.57405996322632,2018
ISR,6.1648998260498,2018
ITA,4.2557201385498,2018
JAM,5.40337991714478,2020
JOR,2.98847007751465,2019
JPN,3.43330001831055,1999
KAZ,2.8569700717926,2019
KEN,5.07996988296509,2020
KGZ,5.36674976348877,2019
KHM,2.16285991668701,2018
KIR,12.3946599960327,2019
KNA,2.6434600353241,2015
KOR,4.45807981491089,2018
KWT,6.55125999450684,2020
LAC,4.04276990890503,2019
LAO,2.93780994415283,2014
LBN,2.59202003479004,2019
LBR,2.30928993225098,2020
LBY,2.26416993141174,1999
LCA,3.56905007362366,2020
LCN,4.04276990890503,2019
LDC,3.08948993682862,2019
LIC,3.21377992630005,2019
LIE,2.55604004859924,2011
LKA,2.13539004325867,2018
LMC,3.7992000579834,2019
LMY,3.66319990158081,2019
LSO,7.37501001358032,2020
LTE,4.06197023391724,2019
LTU,3.89495992660522,2018
LUX,3.66626000404358,2018
LVA,4.24517011642456,2018
MAC,3.06146001815796,2019
MAR,5.26064014434814,2009
MCO,1.15266001224518,2019
MDA,6.10457992553711,2019
MDG,2.94490003585815,2019
MDV,4.12159013748169,2019
MEA,4.2559700012207,2017
MEX,4.25442981719971,2018
MHL,9.61128997802734,2019
MIC,3.85898005962372,2019
MKD,3.30014991760254,2002
MLI,3.43867993354797,2019
MLT,4.65162992477417,2017
MMR,1.97421002388,2019
MNA,4.21789014339447,2016
MNG,4.94088983535767,2019
MOZ,6.22999000549316,2019
MRT,1.88659000396729,2020
MUS,4.60799980163574,2020
MWI,2.90761995315552,2020
MYS,4.16339015960693,2019
NAC,5.26205015182495,2011
NAM,9.40958976745605,2020
NER,3.52316999435425,2019
NGA,3.0636899471283,1975
NIC,3.44283008575439,2019
NLD,5.35764980316162,2018
NOR,7.64411020278931,2018
NPL,4.43445014953613,2018
NRU,4.24615001678467,2007
NZL,6.04850006103516,2018
OED,4.8984899520874,2018
OMN,5.41320991516113,2019
OSS,4.71929979324341,2019
PAK,2.50755000114441,2019
PAN,3.12736010551453,2019
PER,4.24667978286743,2020
PHL,3.23436999320984,2019
PLW,7.5219898223877,2002
PNG,1.8748300075531,2018
POL,4.61579990386963,2018
PRE,3.32622992992401,2019
PRI,6.07265996932983,2014
PRT,4.67515993118286,2018
PRY,3.46971011161804,2019
PSE,5.31887006759644,2018
PST,4.99274015426636,2018
QAT,3.19033002853394,2020
ROU,3.34474992752075,2018
RUS,4.67819976806641,2018
RWA,3.4072699546814,2020
SAS,2.50755000114441,2019
SAU,5.13781023025513,2008
SDN,2.21867990493774,2009
SEN,5.28719997406006,2019
SGP,2.50665998458862,2020
SLB,10.1349000930786,2015
SLE,9.26146984100342,2020
SLV,3.38515996932983,2019
SMR,3.37969994544983,2019
SOM,1.27727997303009,1973
SRB,3.61922001838684,2019
SSA,3.53498005867004,2019
SSD,1.54390001296997,2016
SSF,3.53498005867004,2019
SST,4.71929979324341,2019
STP,5.92154979705811,2019
SUR,7.23706007003784,2019
SVK,3.975830078125,2018
SVN,4.93603992462158,2018
SWE,7.64084005355835,2018
SWZ,5.34233999252319,2020
SYC,3.91458988189697,2019
SYR,5.13013982772827,2009
TCA,3.48839998245239,2019
TCD,2.37245988845825,2019
TEA,3.23436999320984,2019
TEC,3.94576001167297,2019
TGO,4.96937990188599,2019
THA,2.96898007392883,2019
TJK,5.71290016174316,2019
TKM,3.12065005302429,2019
TLA,4.04276990890503,2019
TLS,6.83091020584106,2018
TMN,4.46613502502441,2008
TON,7.95963001251221,2019
TSA,2.50755000114441,2019
TSS,3.53498005867004,2019
TTO,3.56123995780945,2019
TUN,7.32434988021851,2016
TUR,4.29460000991821,2018
TUV,3.73082995414734,1997
TZA,3.10434007644653,2020
UGA,3.01393008232117,2020
UKR,5.43965005874634,2019
UMC,3.88286006450653,2019
URY,4.68332004547119,2019
UZB,5.11241006851196,2020
VCT,5.69377994537354,2018
VEN,1.34407997131348,2017
VGB,2.918790102005,2019
VNM,4.06197023391724,2019
VUT,2.3125,2020
WLD,3.66319990158081,2019
WSM,4.80916023254395,2020
YEM,5.15143013000488,2008
ZAF,6.83613014221191,2020
ZMB,4.46517992019653,2019
ZWE,3.58728003501892,2018
