code,description,category,pink_sheet_commodity
100119,"Cereals: wheat and meslin, durum wheat, other than seed",wheat,Wheat
100199,"Cereals: wheat and meslin, other than durum wheat, other than seed",wheat,Wheat
100590,"Cereals: maize (corn), other than seed",maize,Maize
151110,"Vegetable oils: palm oil and its fractions, crude, not chemically modified",palm oil,Palm oil
151190,"Vegetable oils: palm oil and its fractions, other than crude, whether or not refined, but not chemically modified",palm oil,Palm oil
151211,"Vegetable oils: sunflower seed or safflower oil and their fractions, crude, not chemically modified",sunflower oil,Sunflower oil
151219,"Vegetable oils: sunflower seed or safflower oil and their fractions, other than crude, whether or not refined, but not chemically modified",sunflower oil,Sunflower oil
151311,"Vegetable oils: coconut (copra) oil and its fractions, crude, not chemically modified",coconut oil,Coconut oil
151319,"Vegetable oils: coconut (copra) oil and its fractions, other than crude, whether or not refined, but not chemically modified",coconut oil,Coconut oil
151321,"Vegetable oils: palm kernel or babassu oil and their fractions, crude, not chemically modified",palm kernel oil,Palm kernel oil
151329,"Vegetable oils: palm kernel or babassu oil and their fractions, other than crude, whether or not refined, but not chemically modified",palm kernel oil,Palm kernel oil
270900,"Oils: petroleum oils and oils obtained from bituminous minerals, crude",crude oil,"Crude oil, average"
310420,"Fertilizers, mineral or chemical: potassic, potassium chloride",potassium chloride,Potassium chloride
310530,"Fertilizers, mineral or chemical: diammonium hydrogenorthophosphate (diammonium phosphate)",diammonium phosphate,DAP
310210,"Fertilizers, mineral or chemical: nitrogenous, urea, whether or not in aqueous solution",urea,Urea
